mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0
0.5045292	0.49526075	0.51903856	0.51732385	0.48096144	0.48267612	1.0512834	1.0506996
0.5057747	0.4936282	0.5368877	0.5339589	0.46311235	0.46604112	1.0785947	1.0768273
0.5067828	0.49211687	0.5527241	0.54895914	0.44727585	0.4510409	1.1002798	1.0969781
0.50760496	0.49072805	0.5667328	0.56224024	0.43326715	0.4377598	1.1190132	1.1139556
0.50828695	0.48944044	0.5792693	0.57409513	0.4207307	0.4259049	1.1358423	1.1288794
0.5088581	0.48823333	0.59062743	0.58479977	0.4093726	0.41520014	1.1513082	1.1423318
0.5093273	0.48708612	0.60102636	0.59456724	0.3989736	0.40543276	1.1657332	1.1546619
0.5096615	0.48597148	0.61062884	0.60355777	0.3893712	0.3964423	1.179329	1.1660984
0.50974894	0.48483908	0.6195576	0.6118929	0.38044238	0.38810718	1.1922427	1.1768008
0.50992876	0.48377487	0.62790775	0.6196662	0.3720922	0.3803338	1.2045819	1.1868861
0.510588	0.4829477	0.63575673	0.6269534	0.3642433	0.37304664	1.2164282	1.1964422
0.51105523	0.4820968	0.6431628	0.633814	0.35683724	0.36618605	1.227845	1.2055383
0.5113771	0.4812253	0.65017486	0.6402962	0.3498252	0.35970375	1.2388829	1.214229
0.5116362	0.48036295	0.65683377	0.64644057	0.34316626	0.35355946	1.2495832	1.2225592
0.51186186	0.47951758	0.6631738	0.65228075	0.3368262	0.3477192	1.2599798	1.2305655
0.5120647	0.47869045	0.66922414	0.65784544	0.33077583	0.3421545	1.2701011	1.2382792
0.51224965	0.47788116	0.67500967	0.66315925	0.3249903	0.33684084	1.2799712	1.2457263
0.5124193	0.47708836	0.680552	0.6682432	0.31944796	0.3317568	1.289611	1.2529294
0.5125751	0.47631103	0.68587005	0.673116	0.31412995	0.326884	1.2990379	1.2599078
0.51271755	0.47554797	0.6909804	0.6777937	0.30901965	0.32220626	1.3082678	1.2666787
0.5128454	0.47479755	0.6958976	0.6822908	0.3041024	0.31770918	1.3173143	1.2732568
0.51295346	0.4740578	0.7006348	0.6866199	0.29936516	0.31338012	1.3261893	1.2796553
0.51302755	0.47332487	0.7052037	0.6907924	0.29479623	0.30920768	1.3349037	1.2858862
0.51303124	0.47259054	0.7096149	0.69481844	0.29038513	0.3051816	1.343467	1.2919598
0.51292765	0.47184533	0.7138777	0.6987073	0.28612232	0.30129275	1.3518878	1.2978855
0.5129438	0.4711326	0.7180009	0.70246714	0.28199914	0.2975329	1.360174	1.3036721
0.51323783	0.4704958	0.7219926	0.7061057	0.2780074	0.2938943	1.3683323	1.309327
0.5134804	0.46986076	0.7258598	0.7096299	0.27414015	0.2903701	1.3763695	1.3148576
0.5136341	0.4692152	0.7296091	0.71304595	0.2703909	0.28695402	1.3842913	1.3202701
0.5137436	0.46856913	0.73324645	0.71635973	0.26675358	0.28364024	1.392103	1.3255706
0.5138323	0.4679277	0.7367775	0.71957654	0.26322255	0.2804235	1.3998095	1.3307645
0.5139099	0.4672927	0.74020743	0.7227012	0.25979263	0.2772988	1.4074154	1.3358568
0.5139805	0.46666488	0.743541	0.7257383	0.25645897	0.27426168	1.4149249	1.3408521
0.51404583	0.46604425	0.7467828	0.7286922	0.2532173	0.27130792	1.4223417	1.3457547
0.51410717	0.4654308	0.74993676	0.7315665	0.25006324	0.26843354	1.4296695	1.3505687
0.5141647	0.46482432	0.753007	0.73436505	0.24699305	0.26563492	1.4369118	1.3552976
0.51421887	0.46422467	0.7559969	0.73709136	0.24400304	0.2629087	1.4440717	1.3599452
0.51426965	0.46363175	0.75891006	0.7397483	0.24108995	0.2602517	1.4511518	1.3645145
0.51431745	0.46304524	0.76174957	0.7423391	0.23825042	0.25766096	1.4581553	1.3690085
0.51436174	0.46246493	0.7645185	0.7448664	0.23548156	0.25513372	1.4650843	1.3734303
0.5144018	0.46189073	0.7672194	0.74733275	0.23278052	0.25266728	1.4719415	1.3777825
0.5144362	0.46132204	0.76985526	0.7497408	0.23014477	0.25025928	1.4787291	1.3820674
0.5144618	0.46075833	0.77242833	0.75209266	0.2275717	0.24790733	1.4854492	1.3862878
0.51447177	0.4601985	0.774941	0.7543907	0.22505891	0.24560931	1.4921039	1.3904456
0.5144527	0.4596405	0.7773957	0.7566369	0.22260433	0.24336313	1.4986951	1.394543
0.5143866	0.45908153	0.7797943	0.7588331	0.22020571	0.2411669	1.5052245	1.3985821
0.51429373	0.45852387	0.7821388	0.76098126	0.21786112	0.2390187	1.5116938	1.4025649
0.5143112	0.45798728	0.7844314	0.7630831	0.21556862	0.2369169	1.5181047	1.406493
0.51445955	0.45747688	0.78667367	0.76514024	0.2133263	0.23485976	1.5244588	1.4103681
0.5145974	0.45697105	0.78886735	0.7671543	0.21113263	0.23284574	1.5307575	1.4141921
0.5146886	0.45646337	0.7910141	0.7691267	0.20898591	0.23087332	1.5370022	1.4179664
0.5147483	0.45595604	0.79311544	0.7710589	0.2068846	0.22894113	1.5431942	1.4216925
0.5147914	0.45545122	0.7951728	0.77295226	0.20482716	0.22704774	1.5493348	1.4253719
0.5148257	0.45495018	0.7971878	0.774808	0.20281222	0.22519203	1.555425	1.4290057
0.51485467	0.45445335	0.79916155	0.7766273	0.20083845	0.22337267	1.5614665	1.4325955
0.51488036	0.45396093	0.8010955	0.7784114	0.19890454	0.22158858	1.56746	1.4361423
0.51490384	0.45347306	0.8029908	0.78016144	0.1970092	0.21983859	1.5734065	1.4396474
0.5149257	0.45298976	0.8048486	0.78187835	0.19515139	0.21812163	1.5793072	1.4431119
0.5149462	0.45251092	0.8066701	0.7835633	0.19332984	0.21643673	1.585163	1.4465371
0.51496565	0.45203662	0.8084564	0.7852171	0.19154352	0.21478282	1.5909748	1.4499236
0.51498395	0.45156673	0.81020856	0.78684086	0.1897914	0.21315908	1.5967437	1.4532727
0.5150012	0.4511012	0.81192756	0.78843546	0.18807246	0.21156457	1.6024704	1.4565852
0.5150176	0.45064002	0.8136142	0.7900016	0.18638578	0.20999846	1.6081557	1.4598622
0.515033	0.4501831	0.8152696	0.7915401	0.18473044	0.20845991	1.6138005	1.4631045
0.51504767	0.44973043	0.81689453	0.79305184	0.18310553	0.2069482	1.6194056	1.4663128
0.5150613	0.44928196	0.8184898	0.79453754	0.18151022	0.20546252	1.6249716	1.4694881
0.5150741	0.44883758	0.82005626	0.79599786	0.1799437	0.20400214	1.6304994	1.4726312
0.5150857	0.44839722	0.82159483	0.79743356	0.1784052	0.2025664	1.6359894	1.4757428
0.515096	0.44796085	0.82310605	0.79884535	0.1768939	0.20115459	1.6414427	1.4788235
