mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0
0.50654805	0.49337596	0.51967096	0.5194233	0.48032907	0.48057675	1.0512408	1.0511297
0.50780386	0.49122107	0.5454676	0.544875	0.45453244	0.45512494	1.104974	1.1039948
0.5091608	0.48832583	0.5748581	0.5738312	0.42514187	0.42616874	1.1612371	1.1577326
0.51063335	0.4849755	0.60740685	0.6057195	0.3925931	0.39428055	1.220098	1.2114443
0.51198584	0.48102698	0.64216906	0.6394941	0.357831	0.36050588	1.2816246	1.2642684
0.5131741	0.47630313	0.6779088	0.67385066	0.32209125	0.32614937	1.3458326	1.3154327
0.51412344	0.47077215	0.71333927	0.70749223	0.28666076	0.29250777	1.4126389	1.3642948
0.51484853	0.46457157	0.7473013	0.73932666	0.25269866	0.2606733	1.4818345	1.4103769
0.515367	0.4578446	0.77888066	0.76857835	0.22111928	0.23142166	1.5530809	1.4533851
0.51572	0.45071414	0.8074675	0.7948175	0.19253246	0.2051825	1.625926	1.4932098
0.515946	0.4433274	0.8327607	0.81792337	0.16723935	0.18207663	1.6998371	1.5299048
0.5160772	0.43587282	0.85472625	0.8380062	0.14527376	0.16199376	1.7742392	1.5636513
0.51614195	0.42855826	0.87353015	0.85531974	0.12646987	0.14468026	1.848555	1.5947142
0.516154	0.42157805	0.88946354	0.87018484	0.11053645	0.12981518	1.9222403	1.6234009
0.516128	0.41508886	0.9028779	0.8829355	0.09712205	0.11706449	1.9948069	1.6500279
0.51607186	0.4091968	0.91413605	0.8938865	0.08586392	0.10611349	2.0658383	1.6748967
0.51599073	0.40395722	0.9235809	0.90331787	0.07641913	0.09668218	2.134996	1.6982806
0.5158882	0.3993815	0.9315188	0.91147006	0.06848121	0.08852993	2.2020144	1.7204179
0.51576585	0.39544907	0.9382136	0.91854614	0.06178645	0.08145388	2.2666996	1.7415105
0.51562405	0.39211875	0.9438864	0.92471486	0.056113627	0.07528521	2.3289168	1.7617264
0.5154624	0.38933843	0.9487198	0.930116	0.051280186	0.06988407	2.3885834	1.781203
0.5152801	0.38705203	0.95286286	0.9348652	0.047137167	0.06513483	2.4456584	1.8000509
0.5150759	0.38520452	0.9564363	0.93905824	0.04356372	0.060941752	2.5001354	1.8183576
0.5148471	0.3837449	0.959538	0.94277436	0.04046208	0.05722565	2.552035	1.8361909
0.51459295	0.38262713	0.96224684	0.94607943	0.037753165	0.05392062	2.6014	1.8536024
0.51431	0.38181105	0.964627	0.94902813	0.0353729	0.050971854	2.6482878	1.8706288
0.5139955	0.38126227	0.9667308	0.95166636	0.033269204	0.048333567	2.6927705	1.8872943
0.5136474	0.38095245	0.96860045	0.95403266	0.03139954	0.045967337	2.734929	1.9036124
0.51326233	0.3808581	0.9702709	0.95615906	0.029729074	0.043840908	2.7748518	1.9195858
0.5128379	0.3809608	0.9717709	0.95807296	0.02822908	0.041927073	2.8126323	1.9352096
0.5123719	0.38124636	0.9731242	0.95979714	0.026875788	0.040202823	2.848368	1.9504691
0.51186293	0.38170484	0.9743506	0.9613514	0.025649428	0.038648594	2.8821576	1.9653426
0.51131094	0.3823298	0.9754665	0.9627523	0.024533466	0.03724772	2.9141023	1.9798025
