mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0
0.50242275	0.4979455	0.49906278	0.49901944	0.50093716	0.50098056	2.5623817	2.6245859
0.5023002	0.4980949	0.4988773	0.4987959	0.50112265	0.5012041	3.0500867	3.1181006
0.5022916	0.49813628	0.49899247	0.49888727	0.5010075	0.50111276	3.2304957	3.2932892
0.5023121	0.49815527	0.4991795	0.4990558	0.5008205	0.5009442	3.303287	3.3612838
0.5023437	0.4981694	0.49938652	0.49924663	0.5006135	0.50075334	3.3335993	3.3885932
0.5023813	0.4981839	0.49960005	0.49944502	0.50039995	0.500555	3.346342	3.3997533
0.50242287	0.49820116	0.49981657	0.4996466	0.5001834	0.5003534	3.351669	3.4044003
0.50246805	0.498222	0.50003517	0.4998502	0.4999648	0.50014985	3.3538363	3.4064097
0.50251687	0.49824733	0.50025564	0.50005543	0.4997443	0.49994457	3.3546472	3.4073532
0.5025696	0.498278	0.50047815	0.50026226	0.4995219	0.49973768	3.354873	3.4078684
0.5026267	0.49831435	0.5007026	0.50047076	0.4992974	0.49952924	3.3548443	3.4082148
