mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.2	0.2	0.0	1.0	1.0	0.0	3.99925	1.0
0.14261349	0.29373816	0.0	1.0	1.0	0.0	3.99925	1.0
0.15009806	0.2897789	0.0	1.0	1.0	0.0	3.99925	1.0
0.15910797	0.2826859	0.0	1.0	1.0	0.0	3.99925	1.0
0.16537471	0.28008878	0.0	1.0	1.0	0.0	3.99925	1.0
0.16968864	0.2807382	0.0	1.0	1.0	0.0	3.99925	1.0
0.17323628	0.27833888	0.0	1.0	1.0	0.0	3.99925	1.0
0.17604747	0.27623627	0.0	1.0	1.0	0.0	3.99925	1.0
0.17670137	0.27659038	0.0	1.0	1.0	0.0	3.99925	1.0
0.17534639	0.2769148	0.0	1.0	1.0	0.0	3.99925	1.0
0.17487219	0.27742004	0.0	1.0	1.0	0.0	3.99925	1.0
0.17548661	0.2770434	0.0	1.0	1.0	0.0	3.99925	1.0
0.17538065	0.27708703	0.0	1.0	1.0	0.0	3.99925	1.0
0.17523097	0.2772342	0.0	1.0	1.0	0.0	3.99925	1.0
0.1753775	0.27715555	0.0	1.0	1.0	0.0	3.99925	1.0
0.17527844	0.27720788	0.0	1.0	1.0	0.0	3.99925	1.0
