mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.0	1.0	0.0	1.0	1.0	0.0	3.99925	1.0
0.0	1.0	0.0	1.0	1.0	0.0	9.585141	2.1298153
0.0	1.0	0.0	1.0	1.0	0.0	7.4654512	1.8288311
0.0	1.0	0.0	1.0	1.0	0.0	8.987465	1.5687863
0.0	1.0	0.0	1.0	1.0	0.0	8.088161	1.6639943
0.0	1.0	0.0	1.0	1.0	0.0	8.605743	1.7624043
0.0	1.0	0.0	1.0	1.0	0.0	8.368836	1.668321
0.0	1.0	0.0	1.0	1.0	0.0	8.415721	1.6865337
0.0	1.0	0.0	1.0	1.0	0.0	8.470896	1.708295
0.0	1.0	0.0	1.0	1.0	0.0	8.416932	1.6864747
0.0	1.0	0.0	1.0	1.0	0.0	8.424421	1.695179
0.0	1.0	0.0	1.0	1.0	0.0	8.442181	1.6956427
0.0	1.0	0.0	1.0	1.0	0.0	8.435389	1.6927023
0.0	1.0	0.0	1.0	1.0	0.0	8.429398	1.6950306
0.0	1.0	0.0	1.0	1.0	0.0	8.432783	1.6936321
0.0	1.0	0.0	1.0	1.0	0.0	8.434373	1.6943578
0.0	1.0	0.0	1.0	1.0	0.0	8.434084	1.6941799
0.0	1.0	0.0	1.0	1.0	0.0	8.433428	1.6941208
0.0	1.0	0.0	1.0	1.0	0.0	8.433251	1.6942114
