mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.15	0.15	0.5	0.5	0.5	0.5	4.2491875	1.0
0.1634734	0.1280271	0.8329594	0.83029586	0.16704053	0.16970417	3.336101	2.4043772
0.1480311	0.18263687	0.92697376	0.90674114	0.07302633	0.09325879	3.6065836	3.8470032
0.14566617	0.10220047	0.9518056	0.9281575	0.048194412	0.07184243	3.2128866	4.4676075
0.1449374	0.128993	0.96634096	0.93660146	0.033659004	0.06339856	3.4726326	4.45812
0.15456516	0.08131579	0.9757003	0.9410599	0.024299681	0.058940064	3.310418	4.231739
0.17053552	0.03989446	0.983453	0.94716495	0.016546998	0.052835096	3.2736068	3.874578
0.17778528	0.030223329	0.9886283	0.9595499	0.011371653	0.04045009	3.2404118	3.5520232
0.17702308	0.031390157	0.9915794	0.97207	0.008420619	0.027930079	3.2051742	3.6327894
0.17838487	0.03109072	0.9933791	0.9803919	0.006620917	0.019608015	3.2062936	3.7625537
0.17886372	0.02820011	0.99457896	0.9854054	0.0054210466	0.0145946555	3.2145429	3.7051587
0.17812368	0.027934162	0.99542373	0.9885105	0.00457624	0.0114895245	3.211617	3.6835234
0.1785448	0.027883656	0.9960503	0.9905567	0.003949726	0.009443273	3.2078395	3.717174
0.17839418	0.02749086	0.99653673	0.9919946	0.0034632748	0.008005418	3.2088041	3.711285
0.17841142	0.027141476	0.9969254	0.9930615	0.0030745948	0.00693845	3.2097569	3.7049398
0.17840825	0.027088035	0.99724305	0.99388784	0.0027569467	0.0061122123	3.209263	3.7128344
