mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.0	1.0	0.5	0.5	0.5	0.5	1.0	1.0
0.1170252	0.99257255	0.8047409	0.8583347	0.19525906	0.14166526	2.516897	0.98522794
0.12993565	0.9353424	0.8565538	0.94494593	0.14344616	0.055054132	4.18066	1.0765606
0.1204891	0.9388507	0.8481288	0.96607333	0.15187122	0.0339267	4.4990244	1.0237395
0.101247594	0.9773565	0.79878247	0.9738941	0.20121758	0.026105814	3.8890574	1.0289567
0.05093085	0.97587806	0.62069577	0.9786862	0.37930426	0.021313814	3.2316155	1.0274037
0.014638468	0.96393925	0.2961815	0.98340166	0.70381856	0.016598325	3.2896595	1.029385
0.016420953	0.9732817	0.1290618	0.9875359	0.8709381	0.012464068	4.465334	1.022813
0.009175026	0.9673866	0.050142467	0.9904643	0.94985753	0.009535599	4.338137	1.028201
0.007471266	0.96468794	0.026109064	0.9924589	0.97389096	0.0075410707	4.2832494	1.0296366
0.008913069	0.9679966	0.017609032	0.9938339	0.982391	0.0061660553	4.430005	1.026923
0.007276222	0.9671252	0.013580149	0.99481237	0.98641986	0.0051876865	4.321131	1.0282437
0.008179869	0.9671667	0.01129326	0.99553865	0.9887067	0.004461305	4.4006333	1.0278263
0.007510775	0.967164	0.009747779	0.99609727	0.99025226	0.0039027813	4.354042	1.0278237
0.0078035016	0.9673077	0.0086073205	0.9965404	0.99139273	0.0034595511	4.384573	1.0277859
0.0076002977	0.9671923	0.0077037443	0.9969008	0.9922963	0.0030992383	4.3681054	1.0279241
0.0076456596	0.96729845	0.0069640586	0.99719965	0.993036	0.0028003943	4.3793297	1.0278354
0.007585748	0.96725184	0.0063419994	0.99745136	0.993658	0.0025485908	4.3739467	1.0278635
0.007593414	0.9672852	0.005811191	0.9976665	0.9941888	0.0023335943	4.3780107	1.0278338
0.007553625	0.96728504	0.005352287	0.99785197	0.9946477	0.0021480073	4.376674	1.0278367
0.0075486135	0.9672881	0.0049519194	0.99801373	0.9950481	0.001986296	4.378015	1.0278352
0.007533582	0.9672986	0.00459971	0.9981558	0.99540037	0.0018442423	4.3780823	1.0278305
0.0075219763	0.96730095	0.0042877407	0.9982815	0.9957123	0.0017185697	4.3784733	1.0278305
