mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.15	0.15	3.3331118e-05	0.9999666	0.9999666	3.3331118e-05	1.0	1.0
0.24442214	0.06653001	1.8806113e-05	0.999977	0.99998116	2.2987782e-05	2.534334	2.5318787
0.18438178	0.13301495	4.874054e-06	0.9999963	0.9999951	3.7199422e-06	3.9338048	4.180302
0.2152828	0.09261085	2.1606734e-06	0.9999988	0.99999785	1.1960889e-06	4.0202155	4.2807417
0.2692238	0.051573973	1.4936488e-06	0.9999993	0.99999845	6.7352994e-07	3.4261775	3.4929636
0.28705505	0.042194866	1.077894e-06	0.9999995	0.9999989	4.59449e-07	2.8742445	3.0027766
0.2900901	0.045405038	7.755188e-07	0.99999964	0.99999917	3.5413348e-07	2.8427365	3.287507
0.28630018	0.052374516	5.5993996e-07	0.99999976	0.9999994	2.875035e-07	2.8947525	3.5141685
0.28776756	0.04942349	4.2264188e-07	0.99999976	0.9999995	2.4812826e-07	2.8502064	3.3575392
0.28603342	0.048319142	3.415537e-07	0.99999976	0.99999964	2.1695344e-07	2.8676326	3.3178456
0.2845547	0.049693767	2.863463e-07	0.99999976	0.99999976	1.8418834e-07	2.908352	3.371208
0.28562114	0.04909526	2.47578e-07	0.9999999	0.99999976	1.6353313e-07	2.8947597	3.3497593
