mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.2	0.2	0.0	1.0	1.0	0.0	1.0	1.0
0.35485065	0.06902001	0.0	1.0	1.0	0.0	2.5024695	2.5525095
0.24497654	0.16968565	0.0	1.0	1.0	0.0	3.466208	4.2883515
0.24779896	0.16728276	0.0	1.0	1.0	0.0	3.498293	4.6059294
0.2691414	0.15532808	0.0	1.0	1.0	0.0	3.1176562	3.9820175
0.32762265	0.110677145	0.0	1.0	1.0	0.0	2.6243293	3.33261
0.512254	0.041837025	0.0	1.0	1.0	0.0	1.9692061	3.2442396
1.0386813	0.020600133	0.0	1.0	1.0	0.0	1.071105	4.4653015
0.9958908	0.013911538	0.0	1.0	1.0	0.0	0.8495573	3.9819925
0.9253745	0.018644	0.0	1.0	1.0	0.0	1.1256948	4.2726054
0.9050576	0.016463643	0.0	1.0	1.0	0.0	1.1096772	4.0565124
0.9320758	0.017920487	0.0	1.0	1.0	0.0	1.0133109	4.213959
0.9347383	0.016324261	0.0	1.0	1.0	0.0	1.0659515	4.1122746
0.93835413	0.016648043	0.0	1.0	1.0	0.0	1.0731121	4.154994
0.93917364	0.016572015	0.0	1.0	1.0	0.0	1.0499941	4.145071
0.9365853	0.016596448	0.0	1.0	1.0	0.0	1.062323	4.140347
0.9359881	0.01667762	0.0	1.0	1.0	0.0	1.0618559	4.149127
0.93573326	0.016638432	0.0	1.0	1.0	0.0	1.0577492	4.1434836
0.9353344	0.01665351	0.0	1.0	1.0	0.0	1.0609746	4.1453457
0.93540454	0.016671007	0.0	1.0	1.0	0.0	1.059826	4.1460795
0.9353737	0.016653476	0.0	1.0	1.0	0.0	1.059645	4.1448984
0.93534386	0.016659196	0.0	1.0	1.0	0.0	1.0601901	4.145413
0.9353874	0.016661892	0.0	1.0	1.0	0.0	1.0597764	4.145551
0.93536294	0.016659033	0.0	1.0	1.0	0.0	1.0599625	4.145274
0.93536705	0.01665958	0.0	1.0	1.0	0.0	1.0599302	4.145369
0.93536854	0.01666013	0.0	1.0	1.0	0.0	1.0598973	4.1454263
0.9353595	0.016659692	0.0	1.0	1.0	0.0	1.0599397	4.1453733
0.9353592	0.01665972	0.0	1.0	1.0	0.0	1.059908	4.145375
0.9353562	0.016660072	0.0	1.0	1.0	0.0	1.0599247	4.1453915
0.9353559	0.01666008	0.0	1.0	1.0	0.0	1.0599182	4.1453915
0.9353558	0.016659984	0.0	1.0	1.0	0.0	1.059919	4.1453843
0.93535626	0.016660016	0.0	1.0	1.0	0.0	1.0599202	4.1453857
