mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.3045	0.3045	0.5	0.5	0.5	0.5	1.0	1.0
0.3983092	0.29754198	0.6860852	0.7079707	0.31391478	0.29202935	2.545525	2.513733
0.47777554	0.053025942	0.5012836	0.90484726	0.49871638	0.09515273	4.218386	3.9828906
0.50528306	0.11754941	0.12993023	0.9809533	0.87006974	0.019046703	3.742886	3.7117844
0.8185821	0.056197505	0.02259473	0.99288815	0.97740525	0.0071118767	2.3860776	3.2832665
0.8908572	0.07282624	0.006825087	0.9957664	0.99317497	0.004233594	1.7903135	4.2791033
0.86883056	0.05053835	0.003749948	0.9969703	0.9962501	0.0030296887	2.0736933	3.8512862
0.82043386	0.048592363	0.002735612	0.99757284	0.9972644	0.0024271836	2.273888	3.8014479
0.8653871	0.046202607	0.002259239	0.99793696	0.99774075	0.002063098	2.1214223	3.9350383
0.85144776	0.042215567	0.0019772241	0.99819946	0.9980228	0.0018005647	2.0785954	3.8735495
0.85223264	0.038323805	0.0017786933	0.99840206	0.99822134	0.0015979626	2.1617866	3.8963356
0.85040575	0.03604467	0.0016190701	0.9985662	0.9983809	0.0014337704	2.130769	3.8808181
0.8528852	0.034947257	0.0014848285	0.9987031	0.9985152	0.0012968672	2.119641	3.8985665
