mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.2	0.2	0.0	1.0	1.0	0.0	1.0	1.0
0.2536074	0.14735381	0.0	1.0	1.0	0.0	2.5293462	2.5305967
0.23480609	0.16523686	0.0	1.0	1.0	0.0	4.2109857	4.23749
0.22203949	0.17497346	0.0	1.0	1.0	0.0	4.6019278	4.6539264
0.22059277	0.17550752	0.0	1.0	1.0	0.0	4.0731206	4.140354
0.22446933	0.17388847	0.0	1.0	1.0	0.0	3.4445114	3.522598
0.22843677	0.1745259	0.0	1.0	1.0	0.0	3.1316712	3.2741466
0.23116356	0.17634836	0.0	1.0	1.0	0.0	3.1495636	3.3743687
0.23187718	0.176628	0.0	1.0	1.0	0.0	3.2660685	3.5236537
0.23138729	0.17547232	0.0	1.0	1.0	0.0	3.3061266	3.5374396
0.2307864	0.1755049	0.0	1.0	1.0	0.0	3.2789724	3.4808917
0.23041034	0.17587468	0.0	1.0	1.0	0.0	3.2564135	3.459054
0.23041727	0.1756092	0.0	1.0	1.0	0.0	3.2590933	3.476256
0.2307498	0.17568865	0.0	1.0	1.0	0.0	3.2663238	3.4886055
0.23080797	0.17559914	0.0	1.0	1.0	0.0	3.2661994	3.4840646
0.23071994	0.17560454	0.0	1.0	1.0	0.0	3.2639048	3.478839
0.23075943	0.1755821	0.0	1.0	1.0	0.0	3.2638514	3.4801617
0.23082286	0.17557535	0.0	1.0	1.0	0.0	3.2644162	3.4822783
0.23081218	0.17555995	0.0	1.0	1.0	0.0	3.264204	3.4819255
0.230834	0.17555417	0.0	1.0	1.0	0.0	3.2639368	3.4812307
0.23084815	0.17554173	0.0	1.0	1.0	0.0	3.2639997	3.4814427
