mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
0.0	1.0	0.0	1.0	1.0	0.0	2.6197224	2.369353
0.0	1.0	0.0	1.0	1.0	0.0	5.4485607	2.5510967
0.0	1.0	0.0	1.0	1.0	0.0	8.850186	1.8792648
0.0	1.0	0.0	1.0	1.0	0.0	9.020971	1.516696
0.0	1.0	0.0	1.0	1.0	0.0	7.9435782	1.5060297
0.0	1.0	0.0	1.0	1.0	0.0	8.601334	1.6864694
0.0	1.0	0.0	1.0	1.0	0.0	8.456504	1.7571348
0.0	1.0	0.0	1.0	1.0	0.0	8.312076	1.7177134
0.0	1.0	0.0	1.0	1.0	0.0	8.51326	1.6841475
0.0	1.0	0.0	1.0	1.0	0.0	8.405564	1.6795467
0.0	1.0	0.0	1.0	1.0	0.0	8.4423485	1.6962723
0.0	1.0	0.0	1.0	1.0	0.0	8.431991	1.699299
0.0	1.0	0.0	1.0	1.0	0.0	8.429554	1.6940466
0.0	1.0	0.0	1.0	1.0	0.0	8.438352	1.6925262
0.0	1.0	0.0	1.0	1.0	0.0	8.430835	1.6939862
0.0	1.0	0.0	1.0	1.0	0.0	8.435227	1.6949012
0.0	1.0	0.0	1.0	1.0	0.0	8.4325075	1.6941609
0.0	1.0	0.0	1.0	1.0	0.0	8.43452	1.6939948
0.0	1.0	0.0	1.0	1.0	0.0	8.433288	1.6941968
0.0	1.0	0.0	1.0	1.0	0.0	8.433945	1.694286
0.0	1.0	0.0	1.0	1.0	0.0	8.433607	1.6941766
0.0	1.0	0.0	1.0	1.0	0.0	8.433858	1.6941811
0.0	1.0	0.0	1.0	1.0	0.0	8.433714	1.6942127
0.0	1.0	0.0	1.0	1.0	0.0	8.433806	1.6942112
0.0	1.0	0.0	1.0	1.0	0.0	8.43378	1.6941998
0.0	1.0	0.0	1.0	1.0	0.0	8.4338045	1.6942067
0.0	1.0	0.0	1.0	1.0	0.0	8.433802	1.6942099
0.0	1.0	0.0	1.0	1.0	0.0	8.433814	1.6942085
0.0	1.0	0.0	1.0	1.0	0.0	8.433818	1.6942095
0.0	1.0	0.0	1.0	1.0	0.0	8.433826	1.6942106
0.0	1.0	0.0	1.0	1.0	0.0	8.433834	1.6942109
0.0	1.0	0.0	1.0	1.0	0.0	8.433838	1.694212
0.0	1.0	0.0	1.0	1.0	0.0	8.433845	1.6942129
0.0	1.0	0.0	1.0	1.0	0.0	8.433845	1.6942133
0.0	1.0	0.0	1.0	1.0	0.0	8.433852	1.6942135
0.0	1.0	0.0	1.0	1.0	0.0	8.433856	1.6942146
0.0	1.0	0.0	1.0	1.0	0.0	8.433858	1.6942147
