mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.02612546	0.02612546	0.5	0.5	0.5	0.5	1.0	1.0
0.0037862342	-0.05512116	0.44234708	0.40133554	0.5576529	0.5986645	1.6653652	1.665444
0.14598283	-0.014806014	0.54782176	0.30956268	0.4521782	0.69043726	1.4435394	1.511053
0.4499084	-0.004220575	0.45568052	0.05618562	0.54431957	0.9438144	1.1719519	1.4687221
0.7249529	0.010099109	0.41258562	0.016969375	0.5874144	0.9830306	1.140506	1.4226542
0.8182825	0.01505334	0.3580878	0.010858194	0.6419122	0.9891418	1.1631993	1.4757973
0.8080761	0.009368621	0.30243057	0.010371262	0.69756943	0.9896288	1.1871923	1.4322537
0.75980955	0.010004576	0.26534566	0.011793593	0.7346543	0.9882063	1.2120876	1.4608017
0.7052651	0.010021769	0.25905636	0.014142246	0.7409437	0.9858577	1.2510368	1.444845
0.67081314	0.0087992055	0.27880394	0.016805524	0.72119606	0.9831944	1.3011835	1.4524065
0.664689	0.010004698	0.30812564	0.019184623	0.6918743	0.9808154	1.3446087	1.4499898
0.6729795	0.009918102	0.32905063	0.020670975	0.6709494	0.979329	1.3670429	1.4508502
0.67890424	0.0109168375	0.33493596	0.021096611	0.66506404	0.9789034	1.3692218	1.4514793
0.67852443	0.010858802	0.3311488	0.02086606	0.6688512	0.97913396	1.3614274	1.4506416
0.67608035	0.011524329	0.32608247	0.020499723	0.6739176	0.9795003	1.3536111	1.4510746
