mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.1366276	0.1366276	0.5	0.5	0.5	0.5	1.0	1.0
0.058124658	0.48040625	0.7556876	0.39115134	0.24431239	0.6088487	1.3791457	1.334891
0.0096025495	0.52133185	0.89731354	0.36487684	0.10268645	0.63512313	1.1648765	1.3091325
0.053443838	0.46218362	0.9318971	0.36261675	0.068102926	0.6373833	1.1843637	1.2064735
0.020051217	0.46513247	0.92433935	0.34555483	0.07566062	0.65444523	1.2701887	1.221419
0.045251705	0.48312482	0.89334595	0.33645886	0.10665402	0.66354114	1.2076098	1.2658248
0.024329294	0.48348612	0.8624094	0.3855407	0.1375906	0.61445934	1.2105975	1.2617179
0.04390698	0.47070202	0.85712093	0.41258472	0.14287914	0.5874153	1.2480385	1.2375681
0.026376031	0.47788137	0.8719358	0.39494365	0.12806424	0.60505635	1.2189704	1.244101
0.04316035	0.4810315	0.8843573	0.36594	0.115642734	0.63406	1.2167621	1.255404
0.030179672	0.47888967	0.88654184	0.37211013	0.11345809	0.6278898	1.2306148	1.2498457
0.039386354	0.4750582	0.8800253	0.382161	0.11997471	0.61783904	1.2200687	1.2440709
0.03513835	0.47891012	0.87451786	0.38413125	0.12548208	0.61586875	1.222323	1.2482064
0.03607889	0.47766292	0.8752383	0.3829298	0.124761686	0.6170702	1.2268574	1.2503593
0.038109742	0.47622696	0.87881434	0.38113737	0.121185616	0.6188627	1.2214359	1.2471949
0.035857607	0.47697973	0.87995	0.37896484	0.12005007	0.6210351	1.2225865	1.246827
0.03799423	0.47711265	0.8785451	0.37939993	0.12145488	0.6206001	1.223976	1.2480531
