mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.20036808	0.20036808	0.5	0.5	0.5	0.5	1.0	1.0
0.07315004	0.19340317	0.45354503	0.2769738	0.54645497	0.7230262	1.1334628	1.3669977
0.06781639	0.23522656	0.4608928	0.15544525	0.5391072	0.8445548	1.0102971	1.1646438
-0.0010703017	0.33356056	0.5717884	0.11458063	0.42821157	0.88541937	1.2103189	1.1221898
-0.0008031194	0.34821793	0.7464112	0.12353355	0.25358886	0.87646645	1.1094322	1.2283434
0.04454826	0.3371922	0.8107884	0.16584069	0.18921162	0.8341593	1.0633312	1.2404016
0.006951645	0.3368202	0.77181506	0.22188362	0.22818486	0.77811635	1.1641133	1.1800039
0.014279068	0.37025413	0.67982376	0.2677177	0.32017618	0.7322823	1.0913756	1.1817768
0.036982976	0.372446	0.6208801	0.29651278	0.37911993	0.7034872	1.1092588	1.2213401
0.017219335	0.34437418	0.63353205	0.29999933	0.36646792	0.7000007	1.1415895	1.2138026
0.01676426	0.36306867	0.67484653	0.2791313	0.3251535	0.7208687	1.0986872	1.1929569
0.030328	0.3733813	0.6937739	0.26220393	0.30622607	0.73779607	1.1176159	1.2011883
0.023102095	0.34685996	0.6809737	0.2554539	0.3190263	0.7445461	1.1207123	1.205585
