mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.09000705	0.09000705	0.5	0.5	0.5	0.5	1.0	1.0
0.024861373	0.060750827	0.6302408	0.6450173	0.3697593	0.3549826	2.5846796	2.5124712
-0.0012619845	0.17776196	0.60509247	0.6815383	0.39490756	0.3184618	4.7509003	4.3073597
0.014297904	0.5529033	0.80434304	0.9441389	0.19565694	0.055861074	5.4809012	4.8068495
0.018723136	1.2701745	0.8747849	0.9894818	0.12521508	0.010518213	4.3517623	3.2312908
0.034262832	1.6464641	0.88950455	0.9956494	0.11049547	0.0043505654	3.7354503	1.9198748
0.038942065	1.5776445	0.8967721	0.99715143	0.10322793	0.0028486191	3.903296	1.3744648
0.031537984	1.389886	0.85562533	0.9977005	0.14437467	0.0022994997	4.1343513	1.2153715
0.028528843	1.3265653	0.8596492	0.9979724	0.14035083	0.002027597	4.1602693	1.2477107
0.030364824	1.3795642	0.8634068	0.99814653	0.13659322	0.0018534241	4.0638494	1.3569677
0.030401971	1.4074475	0.86757755	0.9982829	0.13242248	0.0017171182	4.051139	1.4470147
0.029717404	1.3880624	0.86549383	0.99840087	0.13450614	0.0015991029	4.0801806	1.4812932
0.02901651	1.3739768	0.86300945	0.99850684	0.13699055	0.0014930743	4.084563	1.4791286
0.028908215	1.3800919	0.8645864	0.99860305	0.13541359	0.0013969254	4.078192	1.4669089
