mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
1.9750445e-07	1.9750445e-07	0.5	0.5	0.5	0.5	1.0	1.0
0.011376634	0.098017044	0.7534068	0.7554627	0.24659312	0.2445373	1.4343171	1.0826284
0.0039586057	0.019672787	0.8988962	0.877804	0.10110384	0.122196086	1.2881818	0.9146909
0.0	0.0	0.9557275	0.92456186	0.044272415	0.07543812	1.1519029	0.90329665
0.02608401	0.0	0.9767734	0.9442559	0.023226589	0.055744052	1.2600658	0.93761444
0.0	0.0	0.9854703	0.9536251	0.014529641	0.04637495	1.2895993	0.9749348
0.026020277	0.0	0.98960704	0.9584883	0.010392921	0.041511673	1.2151573	1.0041176
0.0027999303	0.019707318	0.99184316	0.9611658	0.00815682	0.03883422	1.2285365	1.0242208
-0.006824635	0.0	0.99305624	0.9618394	0.006943752	0.038160685	1.2605076	1.0778831
0.0	0.0	0.99389875	0.9622998	0.006101182	0.03770016	1.2383101	1.1065141
0.0014204126	0.0	0.9945273	0.96263283	0.005472662	0.0373672	1.2316802	1.1183406
0.0	0.0	0.9950228	0.9628888	0.0049772044	0.037111282	1.2466083	1.1199204
0.0	0.0	0.9954295	0.9630975	0.0045705135	0.03690253	1.2411356	1.1158414
-0.0006343811	0.0	0.99577373	0.9632766	0.0042263023	0.036723323	1.2358394	1.1090864
-0.000255989	0.0	0.9960716	0.9634366	0.003928428	0.03656335	1.2415929	1.1014352
0.0	0.0	0.99633336	0.96358335	0.0036666263	0.03641661	1.240401	1.0938559
-1.2803324e-05	0.0	0.9965662	0.96372044	0.0034338238	0.03627953	1.2377269	1.086843
-0.00037807162	0.0	0.996775	0.96384996	0.0032249838	0.036149982	1.2398149	1.0806024
0.0	0.0	0.99696356	0.96397334	0.0030364152	0.036026634	1.2395377	1.075169
0.0	0.0	0.9971347	0.96409136	0.00286525	0.035908636	1.238339	1.0705004
0.0	0.0	0.9972908	0.9642046	0.0027092027	0.035795394	1.2390759	1.0665187
-0.00010178073	0.0	0.9974336	0.96431345	0.0025664212	0.035686534	1.2389653	1.0631309
-6.0352464e-05	0.0	0.9975647	0.96441835	0.0024353613	0.03558168	1.2384392	1.0602487
0.0	0.0	0.9976853	0.96451944	0.0023147175	0.03548056	1.2386838	1.0577924
0.0	0.0	0.99779665	0.9646171	0.0022033772	0.03538293	1.2386038	1.0556918
0.0	0.0	0.99789965	0.96471137	0.002100379	0.0352886	1.238363	1.0538881
-8.5951815e-06	0.0	0.99799514	0.9648027	0.0020048858	0.03519737	1.2384274	1.0523325
-1.7325232e-05	0.0	0.99808383	0.9648909	0.0019161676	0.035109065	1.2383603	1.0509843
