mean1	mean2	1>1	2>1	1>2	2>2	len1	len2
0.108799994	0.108799994	0.5	0.5	0.5	0.5	1.0	1.0
0.14040783	0.17137067	0.3646343	0.37447163	0.6353657	0.62552834	2.515735	2.582054
0.013408099	0.22503403	0.37886247	0.5155813	0.6211375	0.48441872	4.372008	4.700549
0.023642993	0.63796645	0.76725984	0.879774	0.23274018	0.120226026	5.725888	4.702357
0.008718025	1.2006862	0.77448374	0.974568	0.2255162	0.025431978	4.3973265	2.8108783
0.0043146336	0.95948327	0.7637444	0.98930246	0.23625556	0.010697594	3.7832808	1.823823
0.0065483544	0.95049	0.76870775	0.99293447	0.2312922	0.0070655313	4.08703	1.6829449
0.004828174	1.0426557	0.7326991	0.9942545	0.26730096	0.005745453	4.362049	1.9013591
0.006402856	0.9643277	0.74581194	0.99494725	0.2541881	0.005052795	4.3319173	2.1099985
0.0065847794	1.007052	0.75304043	0.99543	0.24695961	0.0045700013	4.1987133	2.1251755
0.0062370896	0.9907911	0.75087494	0.9958146	0.24912508	0.0041854163	4.2040095	2.0477748
0.006567011	0.99404365	0.74899673	0.9961356	0.25100327	0.0038644318	4.2595468	2.0144923
0.00669838	0.995739	0.7472212	0.9964132	0.25277886	0.003586859	4.2504354	2.0310104
0.0068658055	0.9929467	0.7506018	0.9966607	0.24939816	0.0033393195	4.236144	2.04811
0.0069271694	0.99532753	0.7493792	0.9968843	0.25062084	0.003115745	4.2373004	2.0466251
